Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5Q4UX8hxcaJEtAE9RtsmSY,"1o2NpYGqHiCq7FoiYdyd1x,3Gm5F95VdRxW3mqCn8RPBJ","FEEL SOMETHING DIFFERENT","FEEL SOMETHING DIFFERENT","Bea Miller,Aminé",2020-10-22,207327,34,spotify:user:flaredfive830,2021-06-08T19:43:05Z,"alt z,pop,talent show,pop rap,portland hip hop,rap,underground hip hop",0.78,0.714,0,-4.716,1,0.0943,0.121,0.0000134,0.244,0.373,124.999,4
40o7MmYto4JMsbRzVl514p,"3c7DW1zmCGBdgHy8HllzV2","hold on","hold on","The Sanctuary",2021-05-20,208896,16,spotify:user:flaredfive830,2021-06-08T21:49:35Z,"",0.704,0.81,0,-6.398,0,0.0583,0.0482,0.735,0.0768,0.27,127.001,4
4nNkCxutxk68CulzSBy0Tq,"12Zk1DFhCbHY6v3xep2ZjI,5INjqkS1o8h1imAzPqGZBb","Guilty Conscience - Tame Impala Remix","Guilty Conscience (Tame Impala Remix)","070 Shake,Tame Impala",2020-07-24,214986,26,spotify:user:flaredfive830,2021-06-08T21:49:46Z,"new jersey rap,australian psych,modern rock,neo-psychedelic,rock",0.416,0.878,1,-3.654,0,0.322,0.0583,0.00453,0.25,0.317,191.936,4
1170VohRSx6GwE6QDCHPPH,"6p2HnfM955TI1bX34dkLnI","Kilby Girl","When We Were Friends","The Backseat Lovers",2019-01-27,282205,69,spotify:user:flaredfive830,2021-06-08T21:49:59Z,"pov: indie,slc indie",0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4
56faZoV6GokAXKve3rdb1L,"20YT1aOty5tsMebdFO9OM1","HML","The New Happiness","Sisyfuss",2018-09-20,259384,31,spotify:user:flaredfive830,2021-06-08T21:50:03Z,"",0.636,0.646,6,-12.22,0,0.416,0.401,0.00000128,0.639,0.546,130.002,4
0gmGBCJ5XhOmoNR37MmxEE,"03r4iKL2g2442PT9n2UKsx","So What'Cha Want - Remastered 2009","Check Your Head (Deluxe Edition/Remastered/2009)","Beastie Boys",1992-04-21,216940,48,spotify:user:flaredfive830,2021-06-10T02:33:07Z,"alternative rock,east coast hip hop,golden age hip hop,hip hop,old school hip hop,rap,rap rock,rock",0.7,0.942,5,-7.355,0,0.237,0.0469,0.0000293,0.0666,0.766,171.37,4
6XNANAB7sFvkfho6bMCp7o,"0xOeVMOz2fVg5BJY3N6akT,3rWZHrfrsPBxVy692yAIxF","Summertime In Paris","ERYS (Deluxe)","Jaden,WILLOW",2019-07-05,270960,57,spotify:user:flaredfive830,2021-06-19T22:07:32Z,"pop rap,rap,afrofuturism,pop,post-teen pop,pov: indie",0.569,0.86,9,-4.116,1,0.043,0.135,0,0.153,0.289,90.937,4
3sN85u5M7FoMmHa8E2aViO,"2jbd7OqeJJd1hz81vOXwwW","Heybb!","Heybb!","binki",2019-10-17,148607,46,spotify:user:flaredfive830,2021-06-19T22:07:33Z,"modern indie pop",0.654,0.972,6,-2.872,0,0.103,0.0174,0,0.402,0.687,117.009,4
4zIiarkbaDt2cm6sukb1Xt,"0Cp8WN4V8Tu4QJQwCN5Md4","Soaked","FIRE ON MARZZ","BENEE",2019-06-28,240946,50,spotify:user:flaredfive830,2021-06-19T22:07:35Z,"alt z,nz pop",0.793,0.589,9,-5.248,0,0.0354,0.462,0,0.105,0.582,93.005,4
4udjo5nLK61pKajakfrndc,"3K2Srho6NCF3o9MswGR76H","1st Time","1st Time","Bakar",2020-10-29,181746,53,spotify:user:flaredfive830,2021-06-19T22:07:35Z,"uk alternative hip hop",0.801,0.718,2,-7.357,1,0.0421,0.0932,0.0331,0.186,0.758,122.994,4
1Tpn9QCsj746NNbDxQ24gr,"3Gm5F95VdRxW3mqCn8RPBJ,50co4Is1HCEo8bhOyUWKpn","Compensating (feat. Young Thug)","Compensating","Aminé,Young Thug",2020-07-06,197855,0,spotify:user:flaredfive830,2021-06-19T22:07:36Z,"pop rap,portland hip hop,rap,underground hip hop,atl hip hop,atl trap,gangster rap,melodic rap,trap",0.867,0.616,5,-5.405,0,0.169,0.292,0,0.253,0.495,98.017,4
